Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,13503,COLEGIO VALENTIN LETELIER,La Serena,II medio,Región de Coquimbo,0.721393034825871,Urbano,435,Part. subvencionado,Medio,75.0,79.0,78.0,72.0,284.0,20,40,40,276.0,31.1,46.7,22.2,73,77,77,85,72,78,66,71,88,77,71
2023,20027,ESCUELA HUERTOS MINEROS,Carahue,4 básico,Región de La Araucanía,1.0,Rural,20,Part. subvencionado,Bajo,64.0,66.0,65.0,56.0,,«,«,«,,«,«,«,60,68,66,54,55,63,51,65,74,60,74
2023,8421,LICEO SALESIANO MONSEÑOR FAGNANO,Natales,4 básico,Región de Magallanes y de la Antártica Chilena,0.765923566878981,Urbano,1048,Part. subvencionado,Medio,72.0,78.0,78.0,65.0,265.0,30,37.1,32.9,276.0,22.5,47.9,29.6,70,73,79,79,65,69,60,70,84,79,76
2023,8421,LICEO SALESIANO MONSEÑOR FAGNANO,Natales,II medio,Región de Magallanes y de la Antártica Chilena,0.76271186440678,Urbano,1048,Part. subvencionado,Medio,75.0,78.0,80.0,70.0,249.0,50,32.8,17.2,247.0,46.7,41.7,11.7,73,78,80,83,69,80,62,71,84,79,78
2023,17897,ESCUELA GLORIAS NAVALES,NINHUE,4 básico,Región de Ñuble,0.836653386454183,Urbano,326,Municipal,Medio bajo,71.0,74.0,75.0,64.0,231.0,55,25,20,251.0,50,30,20,71,72,76,69,62,72,57,67,83,72,79
2023,7741,ESCUELA RURAL RICARDO ROTH SCHUTZ,Puerto Varas,4 básico,Región de Los Lagos,0.826086956521739,Rural,13,Servicio local de educación,Medio bajo,75.0,74.0,81.0,73.0,275.0,«,«,«,229.0,«,«,«,77,73,79,77,64,83,72,70,82,70,87
2023,25462,COLEGIO ALTO GABRIELA,La Pintana,4 básico,Región Metropolitana de Santiago,0.896925858951175,Urbano,825,Part. subvencionado,Medio bajo,72.0,70.0,72.0,65.0,258.0,34,39.6,26.4,239.0,56.1,38.6,5.3,70,75,69,72,69,69,58,63,77,70,73
2023,25462,COLEGIO ALTO GABRIELA,La Pintana,II medio,Región Metropolitana de Santiago,0.892241379310345,Urbano,825,Part. subvencionado,Medio bajo,70.0,78.0,78.0,76.0,235.0,61.1,27.8,11.1,227.0,69.1,23.6,7.3,69,71,77,80,83,80,67,71,85,80,76
2023,20159,LICEO PARTICULAR JAN COMENIUS,Temuco,II medio,Región de La Araucanía,0.814302191464821,Urbano,1064,Part. subvencionado,Medio bajo,68.0,72.0,73.0,70.0,245.0,52.7,28.3,19,248.0,55.7,32.8,11.5,66,69,72,74,68,79,63,67,77,72,74
2023,326,ESCUELA SANTIAGO AMENGUAL B.,Antofagasta,4 básico,Región de Antofagasta,0.842920353982301,Urbano,620,Municipal,Medio bajo,75.0,73.0,78.0,71.0,260.0,32.5,32.5,35,257.0,40.5,45.2,14.3,70,80,78,78,72,77,66,66,80,74,78
2023,1851,LICEO POLITECNICO QUINTERO,Quintero,II medio,Región de Valparaíso,0.937062937062937,Urbano,489,Municipal,Bajo,74.0,79.0,78.0,68.0,241.0,51.5,33.8,14.7,228.0,66.7,28.3,5,71,77,80,78,65,72,67,71,84,81,76
2023,5109,LICEO CLAUDIO FLORES SOTO,LOS ÁLAMOS,4 básico,Región del Biobío,0.912114014251782,Rural,805,Municipal,Medio bajo,65.0,71.0,72.0,68.0,269.0,34,31.9,34,241.0,57.4,31.9,10.6,62,68,75,72,67,78,60,64,74,74,70
