Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,22014,COLEGIO BAQUEDANO,VALDIVIA,4 básico,Región de Los Ríos,0.833962264150943,Urbano,422,Part. subvencionado,Medio,71.0,72.0,69.0,60.0,284.0,25,16.7,58.3,266.0,24,56,20,70,72,70,63,65,63,53,64,78,73,72
2023,22014,COLEGIO BAQUEDANO,VALDIVIA,II medio,Región de Los Ríos,0.806451612903226,Urbano,422,Part. subvencionado,Medio,82.0,81.0,86.0,73.0,260.0,33.3,51.9,14.8,252.0,50,40,10,81,82,86,89,73,80,66,76,89,79,84
2023,5521,ESC. BASICA QUILACO REX. 223/7-03-2023 PLAN CONTINGENCIA 2023,Purén,4 básico,Región de La Araucanía,1.0,Rural,8,Municipal,Bajo,64.0,74.0,65.0,52.0,259.0,«,«,«,250.0,«,«,«,64,64,62,54,56,51,50,68,82,72,77
2023,25671,COLEGIO SAN MARTIN DE PORRES DE LA PINTANA,LA PINTANA,II medio,Región Metropolitana de Santiago,0.972477064220184,Urbano,127,Part. subvencionado,Bajo,86.0,92.0,95.0,85.0,221.0,76.2,23.8,0,225.0,72.2,16.7,11.1,82,89,95,95,88,86,79,84,98,94,95
2023,22672,COLEGIO ALTAS CUMBRES,PUERTO VARAS,4 básico,Región de Los Lagos,0.771428571428572,Urbano,482,Part. subvencionado,Medio,62.0,69.0,65.0,67.0,239.0,56.7,20,23.3,253.0,54.8,22.6,22.6,61,62,63,63,64,77,60,65,75,67,69
2023,22672,COLEGIO ALTAS CUMBRES,PUERTO VARAS,II medio,Región de Los Lagos,0.753846153846154,Urbano,482,Part. subvencionado,Medio,72.0,75.0,74.0,73.0,251.0,40,48.6,11.4,257.0,48.6,40.5,10.8,72,72,77,71,71,82,66,69,79,77,76
2023,20042,ESC. PART. LUCILA GODOY ALCAYAGA,Angol,4 básico,Región de La Araucanía,0.853932584269663,Urbano,180,Part. subvencionado,Medio bajo,83.0,84.0,87.0,74.0,259.0,53.8,7.7,38.5,227.0,78.6,21.4,0,81,86,88,89,78,77,65,77,91,83,84
2023,13512,COLEGIO JOAQUIN VICUÐA LARRAIN,VICUÑA,4 básico,Región de Coquimbo,0.919811320754717,Urbano,230,Municipal,Bajo,79.0,77.0,81.0,71.0,254.0,52.9,23.5,23.5,254.0,29.4,47.1,23.5,76,81,80,79,76,67,69,71,83,76,83
2023,7707,COLEGIO INMACULADA CONCEPCION,Puerto Montt,4 básico,Región de Los Lagos,0.339027595269382,Urbano,1221,Part. subvencionado,Medio alto,74.0,74.0,80.0,74.0,276.0,23.1,30.8,46.2,262.0,37.3,41.8,20.9,71,76,82,81,74,80,70,68,79,76,77
2023,7707,COLEGIO INMACULADA CONCEPCION,Puerto Montt,II medio,Región de Los Lagos,0.39938080495356,Urbano,1221,Part. subvencionado,Medio alto,72.0,73.0,73.0,69.0,267.0,33.3,33.3,33.3,279.0,33.7,38.8,27.6,70,74,74,74,70,76,61,68,79,72,72
