Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,12122,ESCUELA EDUCADORA GABRIELA MISTRAL,Pudahuel,4 básico,Región Metropolitana de Santiago,0.855195911413969,Urbano,672,Part. subvencionado,Medio bajo,71.0,74.0,73.0,67.0,322.0,4.2,18.8,77.1,303.0,10.4,29.2,60.4,71,72,74,77,66,74,60,66,79,76,69
2023,4447,ESCUELA BASICA RIHUE,Negrete,4 básico,Región del Biobío,0.880794701986755,Rural,189,Municipal,Bajo,73.0,65.0,75.0,66.0,266.0,30.8,38.5,30.8,251.0,46.2,30.8,23.1,68,77,75,74,69,73,58,59,75,62,74
2023,2930,LICEO DE CULTURA Y DIFUSION ARTISTICA,Talca,4 básico,Región del Maule,0.841423948220065,Urbano,572,Municipal,Medio,71.0,80.0,76.0,72.0,279.0,28.6,21.4,50,240.0,48.3,48.3,3.4,68,75,77,79,71,85,61,70,84,84,72
2023,2930,LICEO DE CULTURA Y DIFUSION ARTISTICA,Talca,II medio,Región del Maule,0.822222222222222,Urbano,572,Municipal,Medio,71.0,73.0,77.0,66.0,253.0,44.2,34.9,20.9,247.0,57.1,35.7,7.1,71,71,78,74,69,72,56,66,77,76,79
2023,24935,COLEGIO POLIV. SIEMBRA,Puente Alto,4 básico,Región Metropolitana de Santiago,0.954166666666667,Urbano,328,Part. subvencionado,Medio bajo,73.0,73.0,76.0,68.0,260.0,36.4,31.8,31.8,248.0,39.1,47.8,13,69,76,76,73,65,76,61,66,82,71,78
2023,24935,COLEGIO POLIV. SIEMBRA,Puente Alto,II medio,Región Metropolitana de Santiago,0.938271604938272,Urbano,328,Part. subvencionado,Bajo,74.0,70.0,77.0,68.0,227.0,83.3,0,16.7,225.0,66.7,25,8.3,72,77,72,79,69,75,59,63,80,66,80
2023,10848,ESCUELA ELIECER PEREZ VARGAS,CURACAVÍ,4 básico,Región Metropolitana de Santiago,0.81651376146789,Rural,261,Municipal,Medio,80.0,80.0,86.0,77.0,285.0,19,23.8,57.1,251.0,47.6,38.1,14.3,78,81,87,89,74,86,72,73,86,81,82
2023,9717,ESCUELA CIUDAD DE LYON,El Bosque,4 básico,Región Metropolitana de Santiago,0.904761904761905,Urbano,242,Municipal,Medio bajo,79.0,83.0,83.0,76.0,258.0,43.8,18.8,37.5,241.0,50,37.5,12.5,76,82,84,78,80,82,68,74,91,84,86
2023,24243,COLEGIO CRISTIANO SEMBRADORES,Coyhaique,4 básico,Región de Aysén del Gral. Carlos Ibáñez del Campo,0.829113924050633,Urbano,206,Part. subvencionado,Bajo,68.0,68.0,72.0,69.0,226.0,61.9,23.8,14.3,222.0,61.1,33.3,5.6,64,72,68,71,69*,63*,64*,63,76,64,76
2023,5012,COLEGIO PARTICULAR SAN PEDRO,Coronel,4 básico,Región del Biobío,0.811068702290076,Urbano,561,Part. subvencionado,Medio,73.0,73.0,75.0,70.0,252.0,50,23.1,26.9,230.0,64.6,31.3,4.2,70,76,71,76,71,74,65,68,77,74,78
2023,20219,COLEGIO BICENTENARIO DE EXCELENCIA ADENAUER,Melipeuco,4 básico,Región de La Araucanía,0.855932203389831,Urbano,441,Part. subvencionado,Medio,74.0,77.0,78.0,66.0,262.0,38.5,38.5,23.1,232.0,61.5,26.9,11.5,70,78,75,84,69,64,65,71,85,76,76
2023,20219,COLEGIO BICENTENARIO DE EXCELENCIA ADENAUER,Melipeuco,II medio,Región de La Araucanía,0.951219512195122,Urbano,441,Part. subvencionado,Bajo,76.0,80.0,84.0,80.0,234.0,62.9,22.9,14.3,220.0,73.5,26.5,0,72,80,83,87,81,85,75,70,90,81,82
2023,20029,ESCUELA SANTA VICTORIA,Galvarino,4 básico,Región de La Araucanía,1.0,Rural,73,Part. subvencionado,Bajo,63.0,74.0,68.0,55.0,244.0,«,«,«,211.0,«,«,«,60,65,70,61,57,64,46,67,83,72,72
2023,7240,COLEGIO BICENTENARIO CRUCERO OSCAR DANIEL,Río Bueno,4 básico,Región de Los Ríos,0.913793103448276,Rural,434,Municipal,Medio bajo,77.0,76.0,85.0,75.0,251.0,38.5,46.2,15.4,260.0,46.2,38.5,15.4,72*,82*,89*,83*,71*,80*,73*,70*,80*,79*,83*
2023,7240,COLEGIO BICENTENARIO CRUCERO OSCAR DANIEL,Río Bueno,II medio,Región de Los Ríos,0.9,Rural,434,Municipal,Bajo,68.0,72.0,75.0,68.0,232.0,56.5,26.1,17.4,211.0,90,10,0,65,71,74,73,69,72,64,65,78,73,77
2023,1037,ESCUELA PARTICULAR HUANQUE,Salamanca,4 básico,Región de Coquimbo,1.0,Rural,5,Part. subvencionado,Medio bajo,,,,,,«,«,«,,«,«,«,-,-,-,-,-,-,-,-,-,-,-
2023,4961,ESCUELA BASICA COLCURA,Lota,4 básico,Región del Biobío,0.898648648648649,Urbano,168,Municipal,Medio bajo,76.0,74.0,79.0,74.0,271.0,45.5,9.1,45.5,265.0,18.2,54.5,27.3,75*,78*,77*,77*,74*,79*,68*,72*,79*,72*,84*
2023,12884,COL. INTERNACIONAL ANTOFAGASTA LTDA.,ANTOFAGASTA,4 básico,,,,917,Particular pagado,Alto,76.0,80.0,82.0,70.0,315.0,3.3,21.3,75.4,307.0,11.5,19.7,68.9,76,76,83,84,73,75,63,75,84,81,80
2023,12884,COL. INTERNACIONAL ANTOFAGASTA LTDA.,ANTOFAGASTA,II medio,,,,917,Particular pagado,Alto,86.0,81.0,87.0,76.0,304.0,6.8,34.1,59.1,371.0,0,5.1,94.9,85,87,88,87,76,84,68,80,86,77,86
2023,1031,ESCUELA BASICA JULIO ECHAVARRIA,Salamanca,4 básico,Región de Coquimbo,0.791044776119403,Rural,76,Municipal,Bajo,86.0,75.0,91.0,76.0,218.0,«,«,«,219.0,«,«,«,85,87,92,94,78,74,77,75,90,60,87
2023,9845,COLEGIO GRACE SCHOOL,Pedro Aguirre Cerda,4 básico,Región Metropolitana de Santiago,0.851470588235294,Urbano,1039,Part. subvencionado,Medio,75.0,74.0,76.0,68.0,275.0,28.2,26.9,44.9,271.0,30.9,30.9,38.3,74,76,77,75,70,73,62,67,81,73,76
2023,9845,COLEGIO GRACE SCHOOL,Pedro Aguirre Cerda,II medio,Región Metropolitana de Santiago,0.893992932862191,Urbano,1039,Part. subvencionado,Medio bajo,79.0,75.0,82.0,81.0,251.0,52.2,23.9,23.9,264.0,41.8,46.3,11.9,77,81,83,83,82,85,75,70,83,73,79
2023,8367,COLEGIO MATER DEI DE COYHAIQUE,Coyhaique,4 básico,Región de Aysén del Gral. Carlos Ibáñez del Campo,0.553054662379421,Urbano,1041,Part. subvencionado,Medio alto,69.0,76.0,78.0,69.0,268.0,24.7,39.7,35.6,247.0,40.8,50.7,8.5,67,70,79,80,68,74,65,69,82,77,76
2023,8367,COLEGIO MATER DEI DE COYHAIQUE,Coyhaique,II medio,Región de Aysén del Gral. Carlos Ibáñez del Campo,0.650735294117647,Urbano,1041,Part. subvencionado,Medio,72.0,75.0,78.0,70.0,254.0,35.6,44.1,20.3,261.0,40.9,45.5,13.6,70,74,81,74,68,82,60,69,81,75,78
2023,4572,COLEGIO GRAN BRETAÑA,CONCEPCIÓN,4 básico,Región del Biobío,0.772727272727273,Urbano,518,Servicio local de educación,Medio,68.0,66.0,67.0,58.0,261.0,41.7,20.8,37.5,230.0,69.6,21.7,8.7,66,70,66,63,60,65,50,61,74,63,73
2023,4572,COLEGIO GRAN BRETAÑA,CONCEPCIÓN,II medio,Región del Biobío,0.8359375,Urbano,518,Servicio local de educación,Medio bajo,75.0,76.0,77.0,68.0,244.0,55,35,10,233.0,65,35,0,73,76,80,75,70,72,63,70,82,77,76
2023,11795,COLEGIO SAN CARLOS DE LA FLORIDA,LA FLORIDA,4 básico,Región Metropolitana de Santiago,0.895833333333333,Urbano,335,Part. subvencionado,Medio bajo,72.0,,77.0,70.0,243.0,45.7,25.7,28.6,225.0,71.4,20,8.6,71,74,73,77,72,74,63,-,-,-,82
2023,10750,ESCUELA ROSALINA PESCIO VARGAS,PEÑAFLOR,4 básico,Región Metropolitana de Santiago,0.818066157760814,Urbano,782,Municipal,Medio,76.0,75.0,74.0,69.0,265.0,29.9,29.9,40.3,250.0,48.7,33.3,17.9,74,77,72,77,70,76,62,69,83,72,74
2023,13604,COLEGIO RAKIDUAM,Coquimbo,4 básico,Región de Coquimbo,0.735294117647059,Urbano,617,Part. subvencionado,Medio,62.0,65.0,64.0,65.0,253.0,31.4,45.7,22.9,248.0,44.4,38.9,16.7,59,64,62,62,64,75,56,58,69,68,67
2023,13604,COLEGIO RAKIDUAM,Coquimbo,II medio,Región de Coquimbo,0.75,Urbano,617,Part. subvencionado,Medio,73.0,79.0,79.0,74.0,274.0,27.7,36.2,36.2,272.0,44.7,36.2,19.1,72,75,79,81,74,80,68,69,87,80,77
2023,8325,ESCUELA ANTUPIREN,Hualaihué,4 básico,Región de Los Lagos,0.882736156351792,Rural,362,Municipal,Medio bajo,75.0,72.0,79.0,72.0,252.0,30.8,46.2,23.1,230.0,60.7,25,14.3,72,78,78,78,74,77,66,68,79,70,82
2023,9827,COLEGIO IDOP LIMITADA,La Cisterna,4 básico,Región Metropolitana de Santiago,0.723646723646724,Urbano,1083,Part. subvencionado,Medio,72.0,72.0,77.0,69.0,271.0,27,29.7,43.2,244.0,47.2,44.4,8.3,70,74,79,76,64,78,64,67,75,74,75
2023,9827,COLEGIO IDOP LIMITADA,La Cisterna,II medio,Región Metropolitana de Santiago,0.819295558958652,Urbano,1083,Part. subvencionado,Medio bajo,72.0,71.0,73.0,65.0,233.0,62,27,10.9,241.0,59.6,30.1,10.3,70,74,71,74,65,70,61,65,76,73,75
2023,4070,ESCUELA BASICA MAITENCO,Treguaco,4 básico,Región de Ñuble,0.863636363636364,Rural,67,Municipal,Medio bajo,89.0,82.0,90.0,71.0,,«,«,«,,«,«,«,86,92,89,90,68,77,68,81,93,73,90
2023,6843,COLEGIO WINDSOR SCHOOL,Valdivia,4 básico,,,,1155,Particular pagado,Alto,69.0,77.0,78.0,68.0,317.0,4.8,13.1,82.1,308.0,5.9,27.1,67.1,68,69,79,81,66,79,59,72,80,79,74
2023,6843,COLEGIO WINDSOR SCHOOL,Valdivia,II medio,,,,1155,Particular pagado,Alto,73.0,76.0,83.0,72.0,297.0,6.5,39.1,54.3,325.0,13.3,31.1,55.6,71,74,83,84,71,80,66,72,81,74,80
2023,3742,LICEO POLITECNICO CAP. IGNACIO CARRERA P,San Carlos,II medio,Región de Ñuble,0.96474358974359,Urbano,667,Municipal,Bajo,76.0,78.0,79.0,74.0,220.0,70.8,20.2,9,236.0,65.7,29.4,4.9,73,78,82,79,74,78,69,72,83,78,75
2023,809,ESCUELA DE HUANILLA,MONTE PATRIA,4 básico,Región de Coquimbo,0.857142857142857,Rural,3,Municipal,Bajo,88.0,88.0,91.0,80.0,223.0,«,«,«,197.0,«,«,«,86,91,92,94,81,89,70,78,100,86,86
2023,11950,COLEGIO MONTEVERDE,PEÑALOLÉN,4 básico,Región Metropolitana de Santiago,0.772445820433437,Urbano,1024,Part. subvencionado,Medio,71.0,72.0,74.0,70.0,270.0,27.1,28.6,44.3,261.0,35.3,44.1,20.6,68,73,75,80,70,77,62,65,77,73,66
2023,11950,COLEGIO MONTEVERDE,PEÑALOLÉN,II medio,Región Metropolitana de Santiago,0.771875,Urbano,1024,Part. subvencionado,Medio bajo,68.0,72.0,75.0,64.0,234.0,60,30.7,9.3,250.0,53.5,36.6,9.9,66,70,73,77,62,71,60,67,79,71,73
2023,1864,COMPLEJO EDUCACIONAL SARGENTO ALDEA,Puchuncaví,4 básico,Región de Valparaíso,0.922297297297297,Urbano,854,Municipal,Medio bajo,80.0,69.0,78.0,72.0,240.0,61.3,9.7,29,232.0,48.5,39.4,12.1,76,83,82,82,75,73,68,66,77,64,71
2023,1864,COMPLEJO EDUCACIONAL SARGENTO ALDEA,Puchuncaví,II medio,Región de Valparaíso,0.89920424403183,Urbano,854,Municipal,Medio bajo,74.0,68.0,72.0,64.0,233.0,58.8,32.9,8.2,227.0,72.5,23.8,3.8,72,75,74,71,64,65,64,66,74,64,71
