Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,10648,ESCUELA LO SALINAS,BUIN,4 básico,Región Metropolitana de Santiago,0.861471861471862,Rural,278,Municipal,Medio,58.0,65.0,60.0,53.0,235.0,54.5,18.2,27.3,232.0,68.2,22.7,9.1,56,60,58,54,53,66,41,56,73,67,69
2023,7962,ESCUELA RURAL LONCOTORO,LLANQUIHUE,4 básico,Región de Los Lagos,0.983333333333333,Rural,57,Servicio local de educación,Medio bajo,75.0,65.0,77.0,71.0,306.0,«,«,«,267.0,«,«,«,68,82,83,83,75,80,57,60,66,68,64
2023,310,ESCUELA CLAUDIO MATTE PEREZ,Antofagasta,4 básico,Región de Antofagasta,0.810989010989011,Urbano,550,Municipal,Medio,79.0,76.0,84.0,73.0,284.0,20.5,31.8,47.7,297.0,9.1,31.8,59.1,76,82,86,87,76,78,67,70,82,76,79
2023,5057,LICEO TÉCNICO PESQUERO FILIDOR GAETE MONSÁLVEZ,Arauco,4 básico,Región del Biobío,0.989247311827957,Rural,192,Municipal,Medio bajo,75.0,66.0,78.0,74.0,235.0,50,30,20,219.0,70,30,0,72,77,78,79,81,73,69,62,77,57,76
2023,5057,LICEO TÉCNICO PESQUERO FILIDOR GAETE MONSÁLVEZ,Arauco,II medio,Región del Biobío,1.0,Rural,192,Municipal,Bajo,69.0,74.0,71.0,72.0,246.0,42.1,47.4,10.5,207.0,84.2,15.8,0,69,69,70,73,73,82,62,67,80,75,68
2023,2338,ESC.JUAN BARROS ROLDAN,SAN VICENTE,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.91869918699187,Rural,169,Municipal,Medio bajo,79.0,76.0,79.0,72.0,256.0,36.4,40.9,22.7,223.0,77.3,22.7,0,77,81,77,75,73,76,67,70,85,71,85
2023,8379,ESCUELA PEDRO AGUIRRE CERDA,Aysén,4 básico,Región de Aysén del Gral. Carlos Ibáñez del Campo,0.910714285714286,Rural,91,Municipal,Medio bajo,68.0,69.0,75.0,57.0,281.0,«,«,«,274.0,«,«,«,68,67,71,76,59,63,49,62,71,73,79
2023,1229,COLEGIO PARTICULAR BREGA COLLEGE,LOS ANDES,4 básico,,,,368,Particular pagado,Alto,74.0,79.0,79.0,70.0,302.0,3,33.3,63.6,292.0,8.6,42.9,48.6,73,74,80,78,70,79,62,72,84,80,77
2023,1405,COLEGIO INGLES DE QUILLOTA,Quillota,4 básico,Región de Valparaíso,0.806629834254144,Urbano,1003,Part. subvencionado,Medio,75.0,77.0,79.0,71.0,269.0,30,25,45,252.0,48.3,30,21.7,73,77,81,79,71,79,64,71,81,78,76
2023,1405,COLEGIO INGLES DE QUILLOTA,Quillota,II medio,Región de Valparaíso,0.843511450381679,Urbano,1003,Part. subvencionado,Medio,76.0,82.0,85.0,72.0,257.0,40.4,42.3,17.3,247.0,52.8,37.7,9.4,74,78,86,87,72,78,65,73,89,84,82
2023,3995,ESCUELA LOS TILOS JOSÉ ANDRADES VÁSQUEZ,BULNES,4 básico,Región de Ñuble,0.974358974358974,Rural,46,Municipal,Medio bajo,85.0,83.0,95.0,85.0,283.0,«,«,«,298.0,«,«,«,82,89,94,96,86,91,79,82,94,73,95
2023,1281,ESCUELA REPUBLICA ARGENTINA,SAN FELIPE,4 básico,Región de Valparaíso,0.786127167630058,Urbano,193,Municipal,Medio,69.0,66.0,71.0,64.0,272.0,20,33.3,46.7,235.0,60,26.7,13.3,67,72,66,74,58,75,59,63,73,62,74
2023,6542,ESCUELA PARTICULAR ADVENTISTA,Carahue,4 básico,Región de La Araucanía,0.919354838709677,Urbano,138,Part. subvencionado,Medio bajo,85.0,85.0,88.0,76.0,286.0,11.8,41.2,47.1,252.0,47.1,47.1,5.9,82,88,93,86,75,82,72,78,92,86,85
2023,5680,ESC.PART.SAN FRANCISCO DE ASIS DE TEMUCO,Temuco,4 básico,Región de La Araucanía,0.712871287128713,Urbano,713,Part. subvencionado,Medio alto,73.0,75.0,76.0,71.0,284.0,27.4,20.5,52.1,267.0,28.9,47.4,23.7,71,74,81,78,72,79,63,70,79,75,70
2023,25615,COLEGIO POLIVALENTE SAINT PETER COLLEGE,Puente Alto,4 básico,Región Metropolitana de Santiago,0.940199335548173,Urbano,517,Part. subvencionado,Medio bajo,69.0,64.0,68.0,62.0,242.0,60.6,21.2,18.2,233.0,60,28.6,11.4,67,71,65,64,62,68,56,58,72,62,73
2023,25615,COLEGIO POLIVALENTE SAINT PETER COLLEGE,Puente Alto,II medio,Región Metropolitana de Santiago,0.954802259887006,Urbano,517,Part. subvencionado,Bajo,72.0,69.0,78.0,66.0,227.0,67.6,23.5,8.8,238.0,61.3,35.5,3.2,68,75,77,81,68,68,61,62,79,67,77
2023,3871,LICEO BICENTENARIO POLITÉCNICO JOSÉ MANUEL PINTO ARIAS,Pinto,II medio,Región de Ñuble,0.981770833333333,Urbano,397,Municipal,Bajo,74.0,74.0,73.0,73.0,225.0,64.6,26.3,9.1,244.0,52.5,39.4,8.1,71,77,75,75,74,77,67,67,79,75,70
2023,22623,COLEGIO AYELEN,Dalcahue,4 básico,Región de Los Lagos,0.791164658634538,Urbano,238,Part. subvencionado,Medio bajo,70.0,72.0,73.0,68.0,233.0,58.8,29.4,11.8,238.0,50,43.8,6.3,67*,73*,72*,69*,70*,73*,62*,67*,80*,70*,76*
2023,8542,LICEO SAN FRANCISCO DE QUITO,Independencia,4 básico,Región Metropolitana de Santiago,0.770434782608696,Urbano,936,Municipal,Medio,69.0,68.0,72.0,68.0,262.0,32.8,37.5,29.7,262.0,30.3,51.5,18.2,67,72,72,70,68,75,61,64,72,68,75
2023,8542,LICEO SAN FRANCISCO DE QUITO,Independencia,II medio,Región Metropolitana de Santiago,0.806666666666667,Urbano,936,Municipal,Medio,72.0,77.0,80.0,69.0,227.0,70.3,13.5,16.2,239.0,58.3,27.8,13.9,71,73,78,81,67,78,63,70,82,78,81
2023,8632,LICEO POLIVALENTE SANTA JULIANA,Recoleta,4 básico,Región Metropolitana de Santiago,0.809421841541756,Urbano,1561,Part. subvencionado,Medio,71.0,68.0,73.0,69.0,261.0,33.7,29.7,36.6,232.0,61,30.5,8.6,68,73,73,77,67,78,60,62,74,68,69
