Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,6836,COLEGIO ALONSO DE ERCILLA,VALDIVIA,II medio,Región de Los Ríos,0.49685534591195,Urbano,466,Part. subvencionado,Medio alto,67.0,68.0,72.0,68.0,273.0,29.3,39,31.7,254.0,50,34.2,15.8,66,68,68,71,69,75,62,63,73,67,76
2023,11809,ESC.PAR.MAURICE AND NATALY SCHOOL,San Ramón,4 básico,Región Metropolitana de Santiago,0.857894736842105,Urbano,249,Part. subvencionado,Medio bajo,80.0,82.0,85.0,77.0,281.0,22.2,22.2,55.6,247.0,55.6,27.8,16.7,78,82,83,86,76,82,72,75,88,82,85
2023,31499,COLEGIO THE SOUTHLAND,Lo Barnechea,4 básico,,,,293,Particular pagado,Alto,71.0,77.0,75.0,63.0,295.0,5.9,29.4,64.7,304.0,11.8,29.4,58.8,70,73,74,75,58,75,57,69,84,77,76
2023,31499,COLEGIO THE SOUTHLAND,Lo Barnechea,II medio,,,,293,Particular pagado,Alto,72.0,81.0,85.0,68.0,281.0,21.1,21.1,57.9,285.0,31.6,47.4,21.1,70,75,82,86,68,70,67,78,89,75,88
2023,12312,COLEGIO REBECA FERNANDEZ,Viña del Mar,4 básico,Región de Valparaíso,0.946996466431095,Urbano,460,Part. subvencionado,Medio bajo,74.0,74.0,77.0,71.0,273.0,28.1,21.9,50,275.0,28.1,37.5,34.4,71,76,79,75,70,78,65,68,80,74,76
2023,12312,COLEGIO REBECA FERNANDEZ,Viña del Mar,II medio,Región de Valparaíso,0.923076923076923,Urbano,460,Part. subvencionado,Bajo,79.0,77.0,83.0,76.0,243.0,56,36,8,228.0,60.7,35.7,3.6,79,80,79,86,73,85,71,70,86,75,84
2023,3113,ESCUELA COLIN,Maule,4 básico,Región del Maule,0.962085308056872,Rural,264,Municipal,Bajo,76.0,76.0,85.0,73.0,252.0,38.5,46.2,15.4,245.0,43.8,43.8,12.5,77,75,85,88,74,82,64,69,83,75,81
2023,26532,COLEGIO LO  BOZA ROSALBA LAGOS MONACO,RENCA,4 básico,Región Metropolitana de Santiago,0.881136950904393,Urbano,464,Part. subvencionado,Bajo,77.0,81.0,83.0,73.0,247.0,48.6,31.4,20,249.0,48.5,39.4,12.1,75,80,86,85,70,78,69,70,90,84,80
2023,3540,LICEO POLITECNICO PEDRO AGUIRRE CERDA,Cauquenes,II medio,Región del Maule,0.973282442748092,Urbano,550,Municipal,Bajo,81.0,82.0,85.0,76.0,198.0,79.8,20.2,0,205.0,86.1,13.9,0,78,84,87,85,78,78,72,75,89,82,82
2023,111,ESCUELA GABRIELA MISTRAL,IQUIQUE,4 básico,Región de Tarapacá,0.814814814814815,Urbano,691,Municipal,Medio bajo,78.0,75.0,82.0,74.0,254.0,42.3,25,32.7,256.0,46.9,24.5,28.6,76,80,83,82,78,75,69,69,83,73,80
