Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,3033,LICEO BICENTENARIO AGROINDUSTRIAL RIO CLARO,Río Claro,4 básico,Región del Maule,0.932059447983015,Urbano,750,Municipal,Bajo,73.0,71.0,74.0,73.0,247.0,45.7,23.9,30.4,225.0,64.4,35.6,0,71,75,75,74,70,80,68,67,76,70,73
2023,3033,LICEO BICENTENARIO AGROINDUSTRIAL RIO CLARO,Río Claro,II medio,Región del Maule,0.94140625,Urbano,750,Municipal,Bajo,73.0,68.0,71.0,74.0,222.0,72.5,21.6,5.9,223.0,74.5,23.5,2,71,75,69,71,77,78,66,63,73,68,72
2023,7833,ESCUELA JOSE ABELARDO NUÑEZ,Maullín,4 básico,Región de Los Lagos,0.822784810126582,Urbano,273,Municipal,Medio,80.0,81.0,86.0,77.0,306.0,4.3,34.8,60.9,299.0,8.7,34.8,56.5,78,83,89,92,75,83,73,75,86,82,78
2023,6076,ESCUELA PARTICULAR CABURGUA,Pucón,4 básico,Región de La Araucanía,0.772727272727273,Rural,28,Part. subvencionado,Medio,88.0,88.0,94.0,79.0,241.0,«,«,«,224.0,«,«,«,85,90,97,93,82,78,77,81,97,86,92
2023,4354,ESCUELA DE CONCENTRACIÓN FRONTERIZA RALCO ALTO BIOBÍO,ALTO BIOBÍO,4 básico,Región del Biobío,0.948717948717949,Rural,363,Municipal,Medio bajo,76.0,72.0,75.0,70.0,251.0,34.6,34.6,30.8,232.0,65.4,23.1,11.5,74,78,74,71,69,77,64,68,78,69,80
2023,9473,ESCUELA BAS.PART.N 23 COLEGIO SANTA ANA,San Miguel,4 básico,Región Metropolitana de Santiago,0.707224334600761,Urbano,338,Part. subvencionado,Medio alto,71.0,74.0,72.0,70.0,271.0,25,32.1,42.9,262.0,32.1,42.9,25,68,73,78,71,67,80,63,70,80,73,68
2023,4026,ESCUELA BASICA NUEVA ALDEA,Ránquil,4 básico,Región de Ñuble,0.94,Rural,60,Municipal,Bajo,94.0,88.0,97.0,87.0,250.0,«,«,«,285.0,«,«,«,91,97,96,96,90,91,80,84,100,80,100
2023,9332,COLEGIO SANTA PATRICIA DE LA FLORIDA,La Florida,4 básico,Región Metropolitana de Santiago,0.927083333333333,Urbano,677,Part. subvencionado,Medio,68.0,69.0,68.0,66.0,248.0,46.4,19.6,33.9,230.0,70.7,19,10.3,66,70,68,69,65,74,60,65,77,66,67
2023,9332,COLEGIO SANTA PATRICIA DE LA FLORIDA,La Florida,II medio,Región Metropolitana de Santiago,0.927350427350427,Urbano,677,Part. subvencionado,Bajo,73.0,69.0,74.0,74.0,219.0,74.5,25.5,0,203.0,82,18,0,72,74,73,76,73,79,69,63,75,70,73
2023,2444,INSTITUTO COMERCIAL ALBERTO VALENZUELA LLANOS DE SAN FERNANDO,San Fernando,II medio,Región del Libertador Gral. Bernardo O’Higgins,0.912974683544304,Urbano,695,Servicio local de educación,Bajo,71.0,71.0,72.0,69.0,230.0,65.1,24.2,10.7,244.0,58,33.3,8.7,69,73,75,71,67,76,65,63,75,74,69
2023,7016,ESCUELA BASICA DE CORRAL,Corral,4 básico,Región de Los Ríos,0.847014925373134,Urbano,303,Municipal,Medio,82.0,76.0,83.0,76.0,269.0,25.8,29,45.2,244.0,46.9,46.9,6.3,79,85,84,86,76,80,71,72,83,73,81
2023,24717,LICEO BICENTENARIO NUESTRA SEÑORA DE GUADALUPE,La Granja,4 básico,Región Metropolitana de Santiago,0.818035426731079,Urbano,1002,Part. subvencionado,Medio,79.0,73.0,81.0,69.0,275.0,29,27.5,43.5,272.0,17.1,58.6,24.3,77,81,84,84,71,74,62,67,79,71,76
2023,24717,LICEO BICENTENARIO NUESTRA SEÑORA DE GUADALUPE,La Granja,II medio,Región Metropolitana de Santiago,0.848708487084871,Urbano,1002,Part. subvencionado,Medio bajo,78.0,80.0,83.0,75.0,270.0,35.1,32.4,32.4,277.0,28.8,44.1,27.1,76,79,81,87,77,79,67,72,87,82,80
