Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,9039,COLEGIO RUBEN DARIO,La Reina,4 básico,,,,344,Particular pagado,Alto,66.0,72.0,73.0,58.0,292.0,15.4,26.9,57.7,258.0,33.3,44.4,22.2,66,65,73,79,55,69,49,69,74,72,65
2023,9039,COLEGIO RUBEN DARIO,La Reina,II medio,,,,344,Particular pagado,Alto,73.0,79.0,80.0,67.0,257.0,44.4,22.2,33.3,262.0,50,33.3,16.7,71,74,77,79,70,70,62,74,87,76,83
2023,18172,COLEGIO AMANECER TALCAHUANO,Talcahuano,4 básico,Región del Biobío,0.651307596513076,Urbano,1177,Part. subvencionado,Medio alto,71.0,76.0,78.0,72.0,272.0,33,25,42,249.0,48.2,36.5,15.3,70,71,78,79,74,78,65,70,81,77,77
2023,18172,COLEGIO AMANECER TALCAHUANO,Talcahuano,II medio,Región del Biobío,0.641509433962264,Urbano,1177,Part. subvencionado,Medio,72.0,73.0,78.0,76.0,259.0,36.9,43.1,20,276.0,30,50,20,69,76,80,78,81,76,72,68,81,70,78
2023,12872,ESCUELA MARÍA ANGÉLICA ELIZONDO BRICEÑO,Mejillones,4 básico,Región de Antofagasta,0.606741573033708,Urbano,375,Municipal,Medio,70.0,77.0,77.0,62.0,270.0,27.5,42.5,30,246.0,42.9,42.9,14.3,68,72,76,79,65,67,55,71,83,76,76
2023,16491,COLEGIO ALBERT EINSTEIN,Curicó,4 básico,Región del Maule,0.904942965779468,Urbano,331,Part. subvencionado,Medio bajo,72.0,77.0,81.0,72.0,264.0,26.9,30.8,42.3,260.0,34.6,38.5,26.9,71,72,80,82,68,85,63,68,82,80,79
2023,6121,ESCUELA PARTICULAR PUCARA ALTO,Villarrica,4 básico,Región de La Araucanía,0.848101265822785,Urbano,109,Part. subvencionado,Medio bajo,74.0,76.0,77.0,63.0,249.0,«,«,«,263.0,«,«,«,71,76,77,72,67,67,54,69,85,74,82
2023,2417,ESCUELA CERRILLOS,Doñihue,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.857142857142857,Rural,67,Municipal,Medio,70.0,76.0,76.0,61.0,235.0,63.6,18.2,18.2,244.0,60,20,20,70,70,75,70,67,65,51,71,83,75,83
2023,22010,COLEGIO CHILOE,ANCUD,4 básico,Región de Los Lagos,0.884020618556701,Urbano,411,Part. subvencionado,Medio bajo,72.0,77.0,78.0,70.0,254.0,34.4,34.4,31.3,243.0,48.5,33.3,18.2,68,76,79,73,72,77,63,71,83,77,82
2023,3334,ESCUELA MONSENOR MANUEL LARRAIN E.,Colbún,4 básico,Región del Maule,0.931159420289855,Rural,310,Municipal,Medio bajo,76.0,72.0,78.0,75.0,253.0,41.7,29.2,29.2,250.0,43.5,39.1,17.4,73,78,79,77,77,80,68,68,77,70,78
2023,4255,ESCUELA BASICA EL NOGAL.,Los Ángeles,4 básico,Región del Biobío,0.922680412371134,Rural,223,Municipal,Bajo,78.0,81.0,83.0,69.0,265.0,20,50,30,252.0,30,60,10,76,81,82,83,66,75,65,71,89,83,84
2023,17903,SEBASTIAN SCHOOL,Chillán,4 básico,Región de Ñuble,0.635211267605634,Urbano,1189,Part. subvencionado,Medio alto,74.0,80.0,79.0,76.0,298.0,12.5,22.2,65.3,290.0,10.7,33.3,56,73,76,82,81,74,84,69,70,85,85,73
2023,17903,SEBASTIAN SCHOOL,Chillán,II medio,Región de Ñuble,0.700980392156863,Urbano,1189,Part. subvencionado,Medio,76.0,78.0,81.0,75.0,279.0,20.3,44.6,35.1,304.0,10.8,55.4,33.8,75,77,83,82,72,84,70,73,83,77,79
2023,10524,ESCUELA BASICA G-841 SANTOS RUBIO MORALES,PIRQUE,4 básico,Región Metropolitana de Santiago,0.820224719101124,Urbano,329,Municipal,Medio,80.0,79.0,85.0,78.0,280.0,24.2,18.2,57.6,254.0,43.8,43.8,12.5,79,81,85,86,77,82,74,76,84,79,83
2023,1585,LICEO COEDUCACIONAL LA IGUALDAD,Valparaíso,4 básico,Región de Valparaíso,0.920517560073937,Urbano,944,Part. subvencionado,Medio,64.0,67.0,66.0,63.0,230.0,59.4,29.7,10.9,233.0,54.7,42.2,3.1,62,66,65,69,66,68,56,60,73,69,63
2023,1585,LICEO COEDUCACIONAL LA IGUALDAD,Valparaíso,II medio,Región de Valparaíso,0.896440129449838,Urbano,944,Part. subvencionado,Medio bajo,73.0,73.0,72.0,65.0,219.0,77.9,15.6,6.5,231.0,76.3,17.5,6.3,71,74,72,75,68,69,59,67,79,72,70
