Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,4483,LICEO BICENTENARIO POLITECNICO HEROES DE LA CONCEPCIÓN,Laja,II medio,Región del Biobío,0.854111405835544,Urbano,1160,Municipal,Medio bajo,74.0,76.0,78.0,73.0,245.0,53.3,29.4,17.3,255.0,50,35,15,71,76,80,80,73,79,66,70,83,76,74
2023,31085,COLEGIO EL ARRAYAN,San Pedro de la Paz,4 básico,Región del Biobío,0.707423580786026,Urbano,1137,Part. subvencionado,Medio,72.0,75.0,77.0,68.0,268.0,31.8,28.8,39.4,266.0,34.8,43.9,21.2,70,74,77,80,68,76,61,68,80,76,74
2023,31085,COLEGIO EL ARRAYAN,San Pedro de la Paz,II medio,Región del Biobío,0.715425531914894,Urbano,1137,Part. subvencionado,Medio,78.0,76.0,81.0,72.0,274.0,27,41.3,31.7,305.0,18,40,42,75*,80*,81*,83*,70*,82*,65*,72*,81*,75*,78*
2023,4087,ESCUELA BASICA BUCHUPUREO,Cobquecura,4 básico,Región de Ñuble,0.854368932038835,Urbano,127,Municipal,Medio bajo,77.0,70.0,79.0,72.0,292.0,20,20,60,279.0,26.7,33.3,40,76,78,79,82,70,81,65,67,77,65,75
2023,81,ESCUELA PAYACHATAS,PUTRE,4 básico,Región de Arica y Parinacota,1.0,Rural,5,Servicio local de educación,Medio alto,,,,,,«,«,«,,«,«,«,-,-,-,-,-,-,-,-,-,-,-
2023,1218,ESCUELA PARTICULAR JEAN PIAGET,LOS ANDES,4 básico,Región de Valparaíso,0.780898876404494,Urbano,449,Part. subvencionado,Medio,84.0,86.0,87.0,77.0,321.0,0,20.6,79.4,294.0,11.4,40,48.6,81,87,88,89,77,83,71,77,94,86,83
2023,1842,COLEGIO SAN ANDRES,VIÑA DEL MAR,4 básico,Región de Valparaíso,0.901869158878505,Urbano,493,Part. subvencionado,Medio bajo,71.0,72.0,79.0,74.0,256.0,40,35.6,24.4,249.0,43.5,47.8,8.7,69,73,79,80,75,81,65,65,79,72,78
2023,9817,COLEGIO PARTICULAR KENNEDY,LO ESPEJO,4 básico,Región Metropolitana de Santiago,0.803858520900322,Urbano,359,Part. subvencionado,Medio,80.0,82.0,87.0,79.0,285.0,26.2,21.4,52.4,264.0,28.6,42.9,28.6,77,83,88,93,80,84,72,77,89,80,80
2023,2666,ESCUELA MUNICIPAL LA BOCA DE RAPEL,Navidad,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.958333333333333,Rural,56,Municipal,Medio,72.0,75.0,75.0,72.0,254.0,20,70,10,234.0,80,20,0,71,74,72,75,71,79,65,70,84,71,78
2023,20311,COLEGIO HUINGANAL,LO BARNECHEA,4 básico,,,,480,Particular pagado,Alto,70.0,76.0,73.0,66.0,304.0,9.7,22.6,67.7,315.0,3.1,21.9,75,70,70,74,68,65,75,59,70,81,77,78
